"Country","ccodecow","ISO","CPARTY1","CPARTY2","CPARTY3","CPARTY4","CPARTY5","CPARTY6","CPARTY7","CPARTY8","CPARTY9","CPARTY10","P1Name","P2Name","P3Name","P4Name","P5Name","P6Name","P7Name","P8Name","P9Name","P10Name","P1Abb","P2Abb","P3Abb","P4Abb","P5Abb","P6Abb","P7Abb","P8Abb","P9Abb","P10Abb","Q2.1_1","Q2.1_2","Q2.1_3","Q2.1_4","Q2.1_5","Q2.1_6","Q2.1_7","Q2.1_8","Q2.1_9","Q2.1_10","Q2.2_1","Q2.2_2","Q2.2_3","Q2.2_4","Q2.2_5","Q2.2_6","Q2.2_7","Q2.2_8","Q2.2_9","Q2.2_10","Q2.3_1","Q2.3_2","Q2.3_3","Q2.3_4","Q2.3_5","Q2.3_6","Q2.3_7","Q2.3_8","Q2.3_9","Q2.3_10","Q3.1_1","Q3.1_2","Q3.1_3","Q3.1_4","Q3.1_5","Q3.1_6","Q3.1_7","Q3.1_8","Q3.1_9","Q3.1_10","Q3.2_1","Q3.2_2","Q3.2_3","Q3.2_4","Q3.2_5","Q3.2_6","Q3.2_7","Q3.2_8","Q3.2_9","Q3.2_10","Q3.3_1","Q3.3_2","Q3.3_3","Q3.3_4","Q3.3_5","Q3.3_6","Q3.3_7","Q3.3_8","Q3.3_9","Q3.3_10","Q3.4_1","Q3.4_2","Q3.4_3","Q3.4_4","Q3.4_5","Q3.4_6","Q3.4_7","Q3.4_8","Q3.4_9","Q3.4_10","Q3.5_1","Q3.5_2","Q3.5_3","Q3.5_4","Q3.5_5","Q3.5_6","Q3.5_7","Q3.5_8","Q3.5_9","Q3.5_10","Q3.6_1","Q3.6_2","Q3.6_3","Q3.6_4","Q3.6_5","Q3.6_6","Q3.6_7","Q3.6_8","Q3.6_9","Q3.6_10","Q4.1_1","Q4.1_2","Q4.1_3","Q4.1_4","Q4.1_5","Q4.1_6","Q4.1_7","Q4.1_8","Q4.1_9","Q4.1_10","Q4.2_1","Q4.2_2","Q4.2_3","Q4.2_4","Q4.2_5","Q4.2_6","Q4.2_7","Q4.2_8","Q4.2_9","Q4.2_10","Q4.3_1","Q4.3_2","Q4.3_3","Q4.3_4","Q4.3_5","Q4.3_6","Q4.3_7","Q4.3_8","Q4.3_9","Q4.3_10","Q4.4_1","Q4.4_2","Q4.4_3","Q4.4_4","Q4.4_5","Q4.4_6","Q4.4_7","Q4.4_8","Q4.4_9","Q4.4_10","Q4.5_1","Q4.5_2","Q4.5_3","Q4.5_4","Q4.5_5","Q4.5_6","Q4.5_7","Q4.5_8","Q4.5_9","Q4.5_10","Q4.6_1","Q4.6_2","Q4.6_3","Q4.6_4","Q4.6_5","Q4.6_6","Q4.6_7","Q4.6_8","Q4.6_9","Q4.6_10","Q4.7_1","Q4.7_2","Q4.7_3","Q4.7_4","Q4.7_5","Q4.7_6","Q4.7_7","Q4.7_8","Q4.7_9","Q4.7_10","Q4.8_1","Q4.8_2","Q4.8_3","Q4.8_4","Q4.8_5","Q4.8_6","Q4.8_7","Q4.8_8","Q4.8_9","Q4.8_10","Q5.1_1","Q5.1_2","Q5.1_3","Q5.1_4","Q5.1_5","Q5.1_6","Q5.1_7","Q5.1_8","Q5.1_9","Q5.1_10","Q5.2_1","Q5.2_2","Q5.2_3","Q5.2_4","Q5.2_5","Q5.2_6","Q5.2_7","Q5.2_8","Q5.2_9","Q5.2_10","Q5.3_1","Q5.3_2","Q5.3_3","Q5.3_4","Q5.3_5","Q5.3_6","Q5.3_7","Q5.3_8","Q5.3_9","Q5.3_10","Q5.4_1","Q5.4_2","Q5.4_3","Q5.4_4","Q5.4_5","Q5.4_6","Q5.4_7","Q5.4_8","Q5.4_9","Q5.4_10","METAPARTY","Elec_code","Elec_year","Elec_date","P1PerVote","P2PerVote","P3PerVote","P4PerVote","P5PerVote","P6PerVote","P7PerVote","P8PerVote","P9PerVote","P10PerVote","P1PerSeats","P2PerSeats","P3PerSeats","P4PerSeats","P5PerSeats","P6PerSeats","P7PerSeats","P8PerSeats","P9PerSeats","P10PerSeats","METACOUNTRY","LSQINDEX","ENEP","ENPP","PR","CL","Regime","polity","polity2","GDP","Region","OECD","Turnout","METAEXPERT","R_YearofBirth","R_Gender","R_Countryofbirth","R_Countryofcitizenship","R_Partysupport","R_ideology","Difficulty","LocationLatitude","LocationLongitude","UserLanguage","Expert"
"the Netherlands",210,"NLD","NLD_ People's Party for Freedom and Democracy","NLD_ Party for Freedom","NLD_ Christian Democratic Appeal","NLD_ Democrats 66","NLD_ The Greens","NLD_ Socialist Party","NLD_ Labour Party","NLD_ Christian Union Party","NLD_ Party for the Animals","NLD_ 50PLUS","People's Party for Freedom and Democracy","Party for Freedom","Christian Democratic Appeal","Democrats 66","The Greens","Socialist Party","Labour Party","Christian Union Party","Party for the Animals","50PLUS","VVD","PVV","CDA","D66","GL","SP","PvdA","CU","Party for the Animals","50+",7,NA,7,7,7,7,7,7,4,4,8,8,8,8,8,8,8,8,NA,NA,3,7,3,3,3,2,2,2,4,4,8,NA,NA,NA,3,1,3,4,3,NA,8,2,NA,NA,NA,8,8,NA,2,3,4,3,7,2,2,4,3,8,NA,NA,4,NA,8,8,8,NA,7,8,NA,NA,2,9,2,2,3,8,3,2,NA,NA,NA,9,NA,3,NA,8,4,2,NA,NA,8,9,7,4,3,7,NA,NA,4,7,8,4,7,NA,3,1,2,4,10,10,7,8,7,2,2,4,3,3,NA,NA,3,1,4,8,8,2,7,7,NA,NA,4,7,7,1,1,3,2,8,NA,NA,7,9,7,2,1,4,2,NA,NA,NA,3,8,3,1,1,3,2,NA,NA,NA,3,NA,4,2,2,3,2,4,NA,NA,3,1,4,3,3,2,3,NA,7,NA,2,1,4,3,3,2,3,NA,NA,NA,2,8,2,2,2,NA,2,2,NA,NA,1,8,1,1,1,3,2,NA,NA,NA,NA,"NLD_15032017_L1",2017,2017-03-15,21.3,13.1,12.4,12.2,9.1,9.1,5.7,3.4,3.2,3.1,27.3,10,8.7,8,0,10,25.3,3.3,1.3,1.3,NA,16.6069262658687,8.63990599782274,5.74930720848138,1,1,2,10,10,48472.54296875,6,1,81.6,NA,1945,1,1,1,NA,NA,4,52.2713928222656,6.81100463867188,"EN",1
"the Netherlands",210,"NLD","NLD_ People's Party for Freedom and Democracy","NLD_ Party for Freedom","NLD_ Christian Democratic Appeal","NLD_ Democrats 66","NLD_ The Greens","NLD_ Socialist Party","NLD_ Labour Party","NLD_ Christian Union Party","NLD_ Party for the Animals","NLD_ 50PLUS","People's Party for Freedom and Democracy","Party for Freedom","Christian Democratic Appeal","Democrats 66","The Greens","Socialist Party","Labour Party","Christian Union Party","Party for the Animals","50PLUS","VVD","PVV","CDA","D66","GL","SP","PvdA","CU","Party for the Animals","50+",7,7,7,7,7,7,7,7,1,1,NA,7,NA,NA,NA,NA,3,NA,NA,NA,3,7,4,3,3,3,3,2,NA,NA,8,NA,NA,NA,3,2,3,7,0,NA,8,2,NA,NA,3,9,8,4,NA,NA,7,NA,7,2,1,2,3,8,1,8,7,9,8,8,9,3,NA,8,NA,8,NA,9,NA,1,1,NA,1,2,NA,8,1,9,0,0,0,4,0,0,NA,NA,8,10,7,2,2,NA,4,NA,NA,9,NA,9,NA,NA,4,0,2,4,10,10,4,7,NA,3,0,4,2,2,0,9,7,3,8,9,8,NA,8,NA,NA,3,7,7,NA,NA,NA,10,10,2,NA,NA,7,10,7,1,0,3,1,NA,NA,9,0,NA,3,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,3,3,3,NA,NA,NA,0,NA,0,NA,NA,NA,1,NA,NA,NA,0,2,8,2,1,1,NA,2,2,NA,NA,0,NA,0,0,1,2,0,0,NA,NA,NA,"NLD_15032017_L1",2017,2017-03-15,21.3,13.1,12.4,12.2,9.1,9.1,5.7,3.4,3.2,3.1,27.3,10,8.7,8,0,10,25.3,3.3,1.3,1.3,NA,16.6069262658687,8.63990599782274,5.74930720848138,1,1,2,10,10,48472.54296875,6,1,81.6,NA,1952,1,0,0,NA,3,5,51.4963989257812,-0.122406005859375,"EN",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,NA,7,9,10,10,10,10,8,8,NA,4,NA,7,10,7,10,10,8,9,8,10,8,NA,3,NA,3,1,NA,8,2,4,4,7,8,3,8,NA,NA,NA,NA,7,7,4,4,2,2,0,NA,4,4,10,3,NA,9,NA,NA,10,3,3,3,10,NA,3,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,2,2,NA,8,8,10,10,3,10,10,NA,3,2,2,2,10,10,10,10,10,NA,7,3,3,3,10,10,4,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES-ES",1
"Papua New Guinea",910,"PNG","PNG_ People's National Congress","PNG_ National Alliance Party","PNG_ Pangu Party","PNG_ United Resources Party","PNG_ Papua New Guinea Party","PNG_ People's Progress Party","PNG_ Social Democratic Party","PNG_ Triumph Heritage Empowerment Rural Party","PNG_ PNG National Party","PNG_ People's Labour Party","People's National Congress","National Alliance Party","Pangu Party","United Resources Party","Papua New Guinea Party","People's Progress Party","Social Democratic Party","Triumph Heritage Empowerment Rural Party","PNG National Party","People's Labour Party","PNC","NAP","PP","URP","PNGP","PPP","SDP","T.H.E.Party","PNG National Party","PLP",10,10,10,10,2,7,3,10,2,2,2,4,NA,10,NA,NA,NA,8,NA,NA,NA,NA,0,3,NA,NA,NA,7,NA,NA,2,3,2,3,NA,NA,NA,7,NA,NA,3,NA,9,4,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,NA,10,NA,NA,0,0,3,0,0,0,NA,0,NA,NA,10,NA,2,7,7,7,NA,4,NA,NA,10,7,3,7,NA,7,NA,NA,NA,NA,10,10,7,10,10,10,NA,7,NA,NA,0,3,NA,0,4,4,10,3,10,10,10,7,NA,10,NA,NA,NA,NA,NA,NA,0,3,NA,0,3,0,NA,0,NA,NA,10,10,NA,10,NA,10,NA,3,NA,NA,10,10,NA,10,NA,10,NA,NA,NA,NA,10,NA,3,10,NA,7,NA,7,NA,NA,10,10,4,10,NA,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,10,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3,10,NA,10,NA,4,NA,NA,NA,"PNG_08072017_L1",2017,2017-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,12.6,9.9,8.1,5.4,4.5,2.7,2.7,1.8,1.8,NA,NA,NA,10.1694225801859,3,3,1,5,5,3823.19384765625,3,0,NA,NA,1970,0,0,0,NA,4,8,-35.1873016357422,149.096496582031,"EN",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",9,9,9,8,7,7,NA,8,NA,9,7,9,7,9,8,7,9,8,7,1,NA,3,4,NA,3,NA,NA,4,NA,10,NA,7,4,3,NA,NA,NA,4,NA,NA,10,10,10,10,10,8,4,10,4,NA,NA,7,2,2,NA,NA,10,2,NA,NA,3,8,NA,NA,NA,NA,10,NA,NA,NA,2,2,2,8,2,NA,NA,2,NA,NA,4,4,4,9,NA,NA,NA,4,NA,NA,NA,7,4,4,NA,NA,NA,4,NA,NA,NA,8,3,2,4,NA,10,3,10,10,NA,NA,4,4,4,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,3,NA,10,3,NA,NA,NA,NA,3,3,4,NA,9,3,NA,NA,NA,2,NA,8,3,NA,NA,NA,NA,NA,10,NA,7,NA,3,10,NA,7,NA,NA,7,8,8,9,NA,NA,10,7,NA,NA,8,9,NA,8,NA,8,NA,NA,NA,NA,10,NA,NA,4,3,10,NA,NA,NA,NA,8,7,NA,10,4,8,NA,4,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,1969,1,0,0,NA,4,8,30.2881011962891,-97.7639999389648,"EN",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",9,10,9,7,NA,9,NA,7,0,NA,3,7,4,9,9,4,9,9,NA,NA,7,NA,NA,9,NA,7,9,9,NA,NA,NA,8,4,2,NA,NA,NA,2,NA,NA,7,9,8,9,NA,NA,1,8,NA,NA,7,9,2,4,4,NA,9,NA,NA,NA,3,9,9,3,NA,3,9,3,NA,NA,NA,1,NA,9,7,NA,2,NA,NA,NA,3,1,3,9,NA,3,3,9,NA,NA,8,7,4,4,NA,NA,NA,4,NA,NA,3,7,3,NA,3,NA,10,3,10,10,NA,4,3,7,NA,NA,NA,3,NA,NA,NA,7,7,NA,NA,NA,NA,3,NA,NA,NA,7,2,4,2,NA,7,NA,NA,NA,7,7,4,4,NA,NA,NA,4,NA,NA,8,2,4,7,4,NA,NA,7,NA,NA,8,3,3,NA,3,NA,NA,NA,NA,NA,7,4,4,1,4,NA,NA,4,NA,NA,8,NA,3,1,3,8,NA,3,NA,NA,NA,7,7,9,7,NA,7,7,NA,NA,7,2,2,7,2,2,NA,NA,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,1950,1,0,0,NA,7,8,19.3361053466797,-99.1502990722656,"EN",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",10,10,10,10,10,10,10,10,10,NA,9,9,8,10,8,10,10,9,10,NA,7,4,NA,9,NA,7,8,8,8,NA,NA,8,4,3,NA,NA,NA,3,NA,NA,8,10,7,7,8,8,7,7,7,NA,NA,10,4,NA,NA,7,10,NA,9,NA,7,NA,9,10,9,NA,NA,9,NA,NA,NA,2,NA,10,2,3,8,8,NA,NA,7,3,7,10,NA,NA,7,8,NA,NA,7,9,NA,4,NA,NA,7,3,7,NA,NA,8,3,3,NA,NA,10,3,10,10,7,7,NA,7,NA,7,7,NA,7,7,7,8,7,3,8,NA,NA,3,NA,NA,NA,NA,4,NA,3,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,4,7,3,NA,NA,7,NA,NA,7,NA,7,7,NA,NA,NA,7,NA,NA,4,NA,4,1,NA,4,4,2,4,NA,3,3,2,0,3,3,3,1,3,NA,4,4,4,10,4,4,7,7,7,NA,4,3,4,7,3,4,NA,NA,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,1978,1,1,1,NA,6,5,22.1492004394531,-100.959197998047,"ES-ES",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",10,7,8,7,8,7,8,NA,4,8,10,8,NA,9,9,9,10,8,NA,NA,NA,NA,NA,9,NA,NA,9,8,10,10,8,9,7,3,NA,NA,NA,3,NA,NA,NA,NA,NA,7,NA,NA,NA,7,10,NA,8,9,8,2,NA,7,4,2,NA,NA,3,7,NA,8,3,4,7,8,NA,10,2,1,NA,9,4,4,NA,3,NA,NA,4,4,7,9,4,4,7,7,NA,NA,7,9,NA,NA,7,7,NA,4,NA,NA,7,7,4,3,7,7,4,3,10,10,9,9,NA,3,7,7,3,3,NA,NA,8,8,4,8,NA,NA,8,3,NA,NA,9,9,3,0,8,8,3,2,NA,NA,10,10,NA,1,9,9,2,1,NA,NA,9,9,7,4,9,9,4,7,NA,NA,9,9,3,1,8,8,2,4,NA,NA,9,9,NA,2,9,9,3,3,NA,NA,9,9,NA,1,9,9,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,2,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,1948,1,NA,NA,NA,NA,NA,19.0467071533203,-98.2369003295898,"EN",1
"the Netherlands",210,"NLD","NLD_ People's Party for Freedom and Democracy","NLD_ Party for Freedom","NLD_ Christian Democratic Appeal","NLD_ Democrats 66","NLD_ The Greens","NLD_ Socialist Party","NLD_ Labour Party","NLD_ Christian Union Party","NLD_ Party for the Animals","NLD_ 50PLUS","People's Party for Freedom and Democracy","Party for Freedom","Christian Democratic Appeal","Democrats 66","The Greens","Socialist Party","Labour Party","Christian Union Party","Party for the Animals","50PLUS","VVD","PVV","CDA","D66","GL","SP","PvdA","CU","Party for the Animals","50+",10,8,10,10,10,8,10,8,NA,NA,8,9,8,8,8,8,8,9,NA,NA,2,4,2,3,2,2,1,2,NA,NA,7,4,NA,NA,3,1,3,NA,NA,NA,9,4,NA,NA,7,10,8,NA,NA,NA,1,2,4,0,0,0,0,NA,NA,NA,8,7,9,10,10,9,9,10,NA,NA,3,10,3,0,0,3,0,1,NA,NA,NA,10,4,1,1,3,1,1,NA,NA,NA,10,NA,2,2,4,2,2,NA,NA,8,3,7,4,2,0,2,3,10,10,3,4,3,1,0,2,1,2,2,NA,9,1,9,10,10,NA,9,9,NA,NA,3,3,4,1,0,1,0,3,NA,NA,3,9,2,0,0,0,0,1,NA,NA,2,3,2,0,0,2,0,1,NA,NA,0,1,0,0,0,0,0,0,NA,NA,7,2,8,4,3,2,NA,8,NA,NA,7,1,8,2,2,4,4,7,NA,NA,2,NA,1,3,3,4,2,2,NA,NA,NA,NA,NA,4,4,3,4,4,NA,NA,NA,"NLD_15032017_L1",2017,2017-03-15,21.3,13.1,12.4,12.2,9.1,9.1,5.7,3.4,3.2,3.1,27.3,10,8.7,8,0,10,25.3,3.3,1.3,1.3,NA,16.6069262658687,8.63990599782274,5.74930720848138,1,1,2,10,10,48472.54296875,6,1,81.6,NA,1943,1,0,0,NA,4,10,47.5982055664062,-52.690299987793,"EN",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",7,8,9,9,8,7,NA,7,NA,NA,3,7,7,8,7,NA,8,8,7,3,NA,3,4,NA,4,4,4,4,4,NA,4,3,NA,7,NA,3,4,8,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,7,8,3,NA,4,4,9,NA,NA,NA,2,7,8,NA,NA,7,8,NA,NA,NA,NA,2,4,9,3,1,4,9,NA,NA,3,2,4,9,4,3,3,3,NA,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,4,NA,3,NA,4,NA,NA,3,10,10,4,4,4,NA,4,4,NA,7,NA,NA,7,7,7,3,7,7,NA,NA,NA,NA,4,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,3,3,3,NA,NA,NA,NA,NA,2,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,7,4,4,NA,7,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,4,3,NA,NA,NA,3,NA,NA,4,4,NA,7,NA,NA,NA,7,NA,NA,NA,3,4,7,3,3,NA,8,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,1964,1,1,1,NA,6,5,19.3668975830078,-99.1587982177734,"EN",1
"Mexico",70,"MEX","MEX_ Coalición PRI-PVEM ","MEX_ Partido Accion Nacional","MEX_ Partido de la Revolucion Democrática","MEX_ Movimiento Regeneracion Nacional","MEX_ Movimiento Ciudadano","MEX_ Partido Nueva Alianza","MEX_ Partido Encuentro Social","MEX_ Partido del Trabajo","MEX_ Partido Humanista","MEX_ Independent","Coalición PRI-PVEM ","Partido Accion Nacional","Partido de la Revolucion Democrática","Movimiento Regeneracion Nacional","Movimiento Ciudadano","Partido Nueva Alianza","Partido Encuentro Social","Partido del Trabajo","Partido Humanista","Independent","PRI-PVEM","PAN","PRD","MORENA","MC","PANAL","PES","PT","Partido Humanista","Ind.",8,8,8,9,8,8,3,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,7,NA,NA,7,NA,NA,NA,7,3,3,4,NA,NA,3,NA,NA,8,8,8,9,8,7,NA,NA,NA,NA,4,8,1,0,2,NA,NA,NA,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,2,1,3,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,3,2,4,10,10,2,10,10,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,4,NA,3,2,4,NA,NA,NA,NA,NA,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEX_07062015_L1",2015,2015-06-07,37.9,22.1,11.4,8.8,6.4,3.9,3.5,3,2.3,0.6,50,21.6,11.2,7,5.2,2,1.6,1.2,0,0.2,NA,9.14576404681424,4.51408167779388,3.1485353013778,3,3,1,8,8,17244.365234375,9,1,47.7,NA,1979,0,1,1,NA,1,3,NA,NA,"EN",1
